group;animal_id;tissue;stim;conc_µg_ml;ifng_pg_ml
a;4;sp;PC;na;3265.1192208300004
a;7;ln;CMP1;1.0;1885.56136094
a;8;ln;PC;na;7839.874833950001
a;8;ln;CMP2;0.1;3632.63674061
a;8;ln;CMP2;1.0;9957.68385278
a;8;ln;CMP2;10.0;21995.5309732
a;8;ln;CMP1;0.1;500.473306523
a;8;ln;CMP1;1.0;2012.04964265
a;8;ln;CMP1;10.0;2829.83043261
a;8;ln;medium;0.0;100.0071573147
a;7;ln;PC;na;8778.2106277
a;7;ln;CMP2;0.1;3714.28112128
a;7;ln;CMP2;1.0;8076.991327590001
a;7;ln;CMP2;10.0;19628.8340429
a;5;ln;CMP1;1.0;271.71017973
a;7;ln;CMP1;0.1;631.168764755
a;5;ln;CMP1;0.1;183.58871204
a;7;ln;medium;0.0;77.08465703550002
a;6;ln;PC;na;3957.87041817
a;6;ln;CMP2;0.1;3098.2597976300003
a;6;ln;CMP2;1.0;8974.55303046
a;6;ln;CMP2;10.0;13629.946503100002
a;6;ln;CMP1;0.1;830.3509640350001
a;6;ln;CMP1;1.0;1718.4810872
a;6;ln;CMP1;10.0;2576.5169943
a;6;ln;medium;0.0;37.9086577321
a;5;ln;PC;na;13462.7977117
a;5;ln;CMP2;0.1;1056.63784146
a;5;ln;CMP2;1.0;2690.69378489
a;7;ln;CMP1;10.0;2870.05689618
a;5;ln;medium;0.0;33.688425579000004
a;1;ln;CMP1;0.1;2518.15232137
a;1;ln;CMP2;10.0;43148.8247973
a;1;sp;medium;0.0;63.551
a;1;sp;CMP1;10.0;24072.645
a;4;ln;PC;na;2793.13723263
a;4;ln;CMP2;0.1;4787.134008630001
a;4;ln;CMP2;1.0;8069.01084227
a;4;ln;CMP2;10.0;20908.086699000003
a;4;ln;CMP1;0.1;1185.2229909900002
a;4;ln;CMP1;1.0;673.139172413
a;4;ln;CMP1;10.0;1891.61860966
a;4;ln;medium;0.0;23.2758777365
a;3;ln;PC;na;11357.7807686
a;3;ln;CMP2;0.1;20847.8496622
a;3;ln;CMP2;1.0;68886.5539232
a;3;ln;CMP2;10.0;104924.330048
a;3;ln;CMP1;0.1;3272.5317796
a;3;ln;CMP1;1.0;8272.28660042
a;3;ln;CMP1;10.0;11371.8880709
a;3;ln;medium;0.0;71.5762348442
a;2;ln;PC;na;18499.3078518
a;2;ln;CMP2;0.1;38918.8355984
a;2;ln;CMP2;1.0;95666.2400307
